Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
18.04.2017;Alla 12m laev;Kalapaat;C;LATREX;430 ;2016;Plastik;4,3;Uus sõiduk;1
18.04.2017;Väikelaev;Sõudepaat;D;VELES;300;2013;Sünt. kangas;3;;1
18.04.2017;Väikelaev;Mootorpaat;C;DULKAN;325;2014;Sünt. kangas;3,25;;1
18.04.2017;Väikelaev;Mootorpaat;D;MAJAK;-;1999;Plastik;3,9;;1
18.04.2017;Väikelaev;Sõudepaat;D;PELLA;-;1984;Plastik;4,2;;1
18.04.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
18.04.2017;Väikelaev;Mootorpaat;C;OMAVALMISTATUD;-;1975;Plastik;4,85;;1
18.04.2017;Väikelaev;Mootorpaat;C;LARSEN B;920;2017;Plastik;9,2;Uus sõiduk;1
19.04.2017;Väikelaev;Mootorpaat;D;DULKAN;325;2013;Sünt. kangas;3,25;;1
19.04.2017;Väikelaev;Mootorpaat;C;JENHAL;Y 330;2015;Sünt. kangas;3,25;Uus sõiduk;1
19.04.2017;Väikelaev;Mootorpaat;D;MAJAK;-;1999;Plastik;3,9;;1
19.04.2017;Väikelaev;Mootorpaat;C;TUNA;410 OC;2015;Alumiinium;4,16;Uus sõiduk;1
19.04.2017;Väikelaev;Mootorpaat;C;LATREX;430;2015;Plastik;4,3;;1
19.04.2017;Väikelaev;Mootorpaat;D;HIIU;450;2016;Plastik;4,5;Uus sõiduk;1
20.04.2017;Väikelaev;Sõudepaat;D;LATREX;440;2014;Plastik;4,4;;1
20.04.2017;Väikelaev;Mootorpaat;C;LIAN YA;WAVEMASTER HYP520;2015;Sünt. kangas;5,2;Uus sõiduk;1
21.04.2017;Alla 12m laev;Kalapaat;C;ROBUST;16;2017;Plastik;5,1;Uus sõiduk;1
21.04.2017;Väikelaev;Sõudepaat;D;SAVA;285;2015;Plastik;2,85;;1
21.04.2017;Väikelaev;Sõudepaat;D;NORDLINE;29;2017;Plastik;2,95;Uus sõiduk;1
21.04.2017;Väikelaev;Mootorpaat;D;VELES;400;2016;Sünt. kangas;4;Uus sõiduk;1
21.04.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1985;Plastik;4,4;;1
21.04.2017;Väikelaev;Mootorpaat;C;ROMANA;460;2015;Plastik;4,6;Uus sõiduk;1
21.04.2017;Väikelaev;Mootorpaat;C;ALAMARIN;-;1986;Plastik;5,1;;1
21.04.2017;Väikelaev;Sõudepaat;D;NORDLINE;51;2017;Plastik;5,15;Uus sõiduk;1
21.04.2017;Väikelaev;Purjejaht;C;ALBIN;VEGA;1976;Plastik;8,25;;1
21.04.2017;Väikelaev;Mootorpaat;C;MARINO;8000;1987;Plastik;8,7;;1
22.04.2017;Väikelaev;Mootorpaat;C;KOLIBRI;KM 330;2016;Sünt. kangas;3,3;Uus sõiduk;1
22.04.2017;Väikelaev;Sõudepaat;D;D-375;-;2016;Plastik;3,75;Uus sõiduk;1
22.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;1
24.04.2017;Väikelaev;Mootorpaat;D;GALA;R300;2016;Plastik;3;Uus sõiduk;1
24.04.2017;Väikelaev;Sõudepaat;D;PELLA;MINI;2010;Plastik;4;;1
24.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-400;2016;Sünt. kangas;4;Uus sõiduk;1
24.04.2017;Väikelaev;Mootorpaat;C;RAIS-SPORT;510;1985;Plastik;5,1;;1
24.04.2017;Väikelaev;Mootorpaat;C;FASTER;525 SC;2016;Alumiinium;5,25;Uus sõiduk;1
25.04.2017;Väikelaev;Sõudepaat;D;AQUA STORM;STM300;2016;Sünt. kangas;3;Uus sõiduk;1
25.04.2017;Väikelaev;Mootorpaat;D;SEA PRO;CD 320;2012;Sünt. kangas;3,2;;1
25.04.2017;Väikelaev;Mootorpaat;D;JAGO;320;2013;Sünt. kangas;3,2;;1
25.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
25.04.2017;Väikelaev;Mootorpaat;C;BUSH;B 330;2017;Sünt. kangas;3,3;Uus sõiduk;1
25.04.2017;Väikelaev;Sõudepaat;D;PELLA;-;1984;Plastik;4,16;;1
25.04.2017;Väikelaev;Mootorpaat;C;QUICKSILVER;420;1999;Plastik;4,2;;1
25.04.2017;Väikelaev;Sõudepaat;D;KASSE;430R;2016;Plastik;4,33;Uus sõiduk;1
25.04.2017;Väikelaev;Mootorpaat;C;FINVAL;555 FISH PRO;2017;Alumiinium;5,59;Uus sõiduk;1
25.04.2017;Väikelaev;Mootorpaat;C;FLIPPER;880 ST;2017;Plastik;8,52;Uus sõiduk;1
25.04.2017;Väikelaev;Purjejaht;A;VANCOUVER;32;1987;Plastik;9,75;;1
26.04.2017;Väikelaev;Mootorpaat;D;VELES;360;2017;Sünt. kangas;3,6;Uus sõiduk;1
26.04.2017;Väikelaev;Mootorpaat;C;HONWAVE;T38IE2;2016;Sünt. kangas;3,76;Uus sõiduk;1
26.04.2017;Väikelaev;Mootorpaat;D;BUSTER;S;1995;Alumiinium;4;;1
26.04.2017;Väikelaev;Mootorpaat;D;TERHI;SEA FUN;2004;Plastik;4,06;;1
26.04.2017;Väikelaev;Sõudepaat;D;PELLA;-;1982;Plastik;4,2;;1
26.04.2017;Väikelaev;Mootorpaat;D;DM;430;2017;Plastik;4,3;Uus sõiduk;1
26.04.2017;Väikelaev;Mootorpaat;C;CALLEGARI;B43C;1999;Plastik;4,32;;1
26.04.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2016;Plastik;4,57;Uus sõiduk;1
26.04.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
27.04.2017;Jett;Määramata;C;SEA-DOO;SPARK 900;2017;Määramata;2,79;Uus sõiduk;1
27.04.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO;2017;Määramata;2,9;Uus sõiduk;1
27.04.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
27.04.2017;Jett;Määramata;C;SEA-DOO;GTX LTD 300;2017;Määramata;3,54;Uus sõiduk;1
27.04.2017;Väikelaev;Mootorpaat;C;HONWAVE;T40AE2;2016;Sünt. kangas;3,95;Uus sõiduk;1
27.04.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1985;Plastik;4,05;;1
27.04.2017;Väikelaev;Mootorpaat;C;ASTRA;435 SILVERFISH;2016;Plastik;4,3;Uus sõiduk;1
27.04.2017;Väikelaev;Mootorpaat;C;FJORDSTAR;450;2016;Kumm;4,5;Uus sõiduk;1
27.04.2017;Väikelaev;Mootorpaat;C;NORD;480;2012;Plastik;4,7;;1
27.04.2017;Väikelaev;Mootorpaat;C;PARKER;750 CABIN CRUISER ;2015;Plastik;6,95;Uus sõiduk;1
27.04.2017;Väikelaev;Mootorpaat;C;YAMARIN CROSS;75 BR;2015;Alumiinium;7,53;Uus sõiduk;1
28.04.2017;Väikelaev;Mootorpaat;C;AQUASTAR;K350;2015;Sünt. kangas;3,5;Uus sõiduk;1
28.04.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1980;Plastik;4;;1
28.04.2017;Väikelaev;Mootorpaat;C;ROMANA;430;2017;Plastik;4,2;Uus sõiduk;1
28.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2016;Plastik;4,27;Uus sõiduk;2
28.04.2017;Väikelaev;Mootorpaat;C;FINVAL;475 EVO JS;2017;Alumiinium;4,72;Uus sõiduk;1
28.04.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1990;Plastik;4,8;;1
28.04.2017;Väikelaev;Mootorpaat;C;BELLA;550 BR;2017;Plastik;5,51;Uus sõiduk;1
29.04.2017;Väikelaev;Mootorpaat;D;TERHI;410R;1974;Plastik;4,1;;1
29.04.2017;Väikelaev;Mootorpaat;C;TUNA;410;2016;Alumiinium;4,16;Uus sõiduk;1
02.05.2017;Väikelaev;Sõudepaat;D;VELES;275;2015;Sünt. kangas;2,75;Uus sõiduk;1
02.05.2017;Väikelaev;Mootorpaat;C;SKATE;S-410;2017;Sünt. kangas;4,1;Uus sõiduk;1
02.05.2017;Väikelaev;Sõudepaat;D;KASSE;430R;2017;Plastik;4,33;Uus sõiduk;1
02.05.2017;Väikelaev;Mootorpaat;D;RIVIERA;430R;1975;Plastik;4,35;;1
02.05.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440;2016;Plastik;4,4;Uus sõiduk;1
03.05.2017;Väikelaev;Sõudepaat;C;AQUA STORM;STK330;2015;Sünt. kangas;3,3;Uus sõiduk;1
03.05.2017;Väikelaev;Sõudepaat;C;OMEGA;TP330KU;2017;Sünt. kangas;3,3;Uus sõiduk;1
03.05.2017;Väikelaev;Mootorpaat;D;VELES;360;2017;Sünt. kangas;3,6;Uus sõiduk;1
03.05.2017;Väikelaev;Mootorpaat;C;OMEGA;TP400KU;2017;Sünt. kangas;4;Uus sõiduk;1
03.05.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2016;Plastik;4,45;Uus sõiduk;1
03.05.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
03.05.2017;Väikelaev;Mootorpaat;D;BELLA;ARROW;1990;Plastik;5,6;;1
03.05.2017;Väikelaev;Mootorpaat;C;AFB;650 F-CC;2017;Alumiinium;6,6;Uus sõiduk;1
04.05.2017;Jett;Määramata;;KAWASAKI;ULTRA 250X;2007;Määramata;3,3;;1
04.05.2017;Jett;Määramata;C;SEA-DOO;RXT-X RS 300;2017;Määramata;3,55;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;C;JENHAL;Y-380;2015;Kumm;3,77;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;D;PIONER;12 MAXI;2015;Plastik;3,81;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D400;2015;Sünt. kangas;4;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;D;CURSUS;440;2017;Plastik;4,4;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;D;TERHI;BIG FUN;1986;Plastik;4,7;;1
04.05.2017;Väikelaev;Mootorpaat;C;UTTERN;T51 OUTBOARD;2017;Plastik;4,92;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;C;DRAGO;FIESTA 550;2005;Plastik;5,45;;1
04.05.2017;Väikelaev;Mootorpaat;C;YAMARIN CROSS;64 BOW RIDER;2017;Alumiinium;6,31;Uus sõiduk;1
04.05.2017;Väikelaev;Mootorpaat;C;BUSTER;CABIN;2016;Alumiinium;6,92;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;D;LATREX;335;2014;Plastik;3,35;;1
05.05.2017;Väikelaev;Mootorpaat;C;AQUA STORM;STK380;2016;Sünt. kangas;3,8;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-400;2017;Sünt. kangas;4;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;C;BUSH;B-400;2016;Sünt. kangas;4,05;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;D;ASTRA;430 SILVERFISH;2016;Plastik;4,3;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2017;Plastik;4,4;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;D;HIRVAS;440T;1986;Plastik;4,4;;1
05.05.2017;Väikelaev;Mootorpaat;D;C-440;-;2016;Plastik;4,4;;1
05.05.2017;Väikelaev;Sõudepaat;D;ROBUST;15;2017;Plastik;4,47;Uus sõiduk;1
05.05.2017;Väikelaev;Mootorpaat;C;FLIPPER;515 HT;2003;Plastik;5,15;;1
06.05.2017;Väikelaev;Mootorpaat;C;BUSH;K330;2017;Sünt. kangas;3,3;Uus sõiduk;1
06.05.2017;Väikelaev;Mootorpaat;C;AQUA MARINA;BT-06360WD;2014;Sünt. kangas;3,59;;1
06.05.2017;Väikelaev;Sõudepaat;D;PELLA;NOVA;2017;Plastik;4,4;Uus sõiduk;1
06.05.2017;Väikelaev;Mootorpaat;C;BAYLINER;175 BR;2008;Plastik;5,3;;1
08.05.2017;Väikelaev;Sõudepaat;D;VELES;245;2016;Sünt. kangas;2,5;Uus sõiduk;1
08.05.2017;Väikelaev;Mootorpaat;C;BUSH;K-360;2017;Kumm;3,6;Uus sõiduk;1
08.05.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
09.05.2017;Väikelaev;Mootorpaat;C;OMAVALMISTATUD;OMAVALMISTATUD;1978;Plastik;5,5;;1
09.05.2017;Väikelaev;Mootorpaat;C;AXOPAR;28AC;2014;Plastik;9,01;;1
10.05.2017;Väikelaev;Sõudepaat;D;VELES;275;2016;Sünt. kangas;2,75;Uus sõiduk;1
10.05.2017;Väikelaev;Sõudepaat;D;PELLA;MINI;2017;Plastik;4;Uus sõiduk;1
10.05.2017;Väikelaev;Mootorpaat;C;BUSH;SKATE S-410;2017;Kumm;4,1;Uus sõiduk;1
10.05.2017;Väikelaev;Mootorpaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
10.05.2017;Väikelaev;Sõudepaat;D;MÄÄRAMATA;-;1999;Plastik;4,4;;1
10.05.2017;Väikelaev;Mootorpaat;D;HIIU;450;2016;Plastik;4,5;Uus sõiduk;1
10.05.2017;Väikelaev;Mootorpaat;C;AJALOOLINE;-;2017;Puit;9,3;Uus sõiduk;1
11.05.2017;Väikelaev;Mootorpaat;C;DULKAN;GAUJA 260 R;2017;Sünt. kangas;2,6;Uus sõiduk;1
11.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-370 DZ;2017;Sünt. kangas;3,7;Uus sõiduk;1
11.05.2017;Väikelaev;Sõudepaat;D;YAMARIN;410 BIG FISH;1991;Plastik;4,4;;1
11.05.2017;Väikelaev;Mootorpaat;C;KOLIBRI;RIB450;2015;Sünt. kangas;4,57;Uus sõiduk;1
11.05.2017;Väikelaev;Mootorpaat;C;BUSTER;LX;2016;Alumiinium;5,04;Uus sõiduk;1
11.05.2017;Väikelaev;Mootorpaat;C;OMAVALMISTATUD;-;1987;Puit;10;;1
12.05.2017;Jett;Määramata;C;KAWASAKI;JS1500A;2017;Määramata;2,7;Uus sõiduk;1
12.05.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
12.05.2017;Väikelaev;Mootorpaat;D;CUMULUS 164;FISHERMAN;2012;Plastik;5,05;;1
12.05.2017;Väikelaev;Mootorpaat;C;BUSTER;LE;2014;Alumiinium;5,07;;1
12.05.2017;Väikelaev;Mootorpaat;C;YAMARIN;59 DC;2017;Plastik;5,73;Uus sõiduk;1
12.05.2017;Väikelaev;Mootorpaat;C;YAMARIN CROSS;75 BR;2017;Alumiinium;7,53;Uus sõiduk;1
13.05.2017;Väikelaev;Mootorpaat;C;BUSH;CRAB K-360;2017;Sünt. kangas;3,6;Uus sõiduk;1
13.05.2017;Väikelaev;Mootorpaat;D;ROMANA;430;2015;Plastik;4,2;Uus sõiduk;1
15.05.2017;Väikelaev;Sõudepaat;D;OMAVALMISTATUD;OMAVALMISTATUD;2017;Puit;2,77;Uus sõiduk;1
15.05.2017;Väikelaev;Mootorpaat;C;BUSH;CRAB K-300;2017;Sünt. kangas;3;Uus sõiduk;1
15.05.2017;Väikelaev;Sõudepaat;D;ADMIRAL;AM 320;2017;Sünt. kangas;3,2;Uus sõiduk;1
15.05.2017;Väikelaev;Mootorpaat;C;HONWAVE;T35AE2;2015;Sünt. kangas;3,53;Uus sõiduk;1
15.05.2017;Väikelaev;Mootorpaat;C;OMEGA;TP360KU;2017;Sünt. kangas;3,6;Uus sõiduk;1
15.05.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1989;Plastik;4,15;;1
15.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-420 DZ;2017;Sünt. kangas;4,2;Uus sõiduk;1
15.05.2017;Väikelaev;Mootorpaat;C;ASTRA;435;2017;Plastik;4,3;Uus sõiduk;1
16.05.2017;Jett;Määramata;;YAMAHA;SUPER JET 700;2007;Määramata;2,18;;1
16.05.2017;Jett;Määramata;;SEA-DOO;SPARK 900 HO;2016;Määramata;2,9;Uus sõiduk;1
16.05.2017;Väikelaev;Sõudepaat;D;NORDLINE;41M;2017;Plastik;4,1;Uus sõiduk;1
16.05.2017;Väikelaev;Mootorpaat;D;RIVIERA;435R;1985;Plastik;4,35;;1
16.05.2017;Väikelaev;Mootorpaat;C;PROGRESS;3M;1990;Alumiinium;4,65;;1
16.05.2017;Väikelaev;Mootorpaat;D;OMAVALMISTATUD;-;2017;Plastik;5,08;Uus sõiduk;1
16.05.2017;Väikelaev;Mootorpaat;D;KALA-PALTA;MV;2016;Plastik;5,18;Uus sõiduk;1
16.05.2017;Väikelaev;Mootorpaat;C;-;-;1977;Plastik;6,74;;1
16.05.2017;Väikelaev;Mootorpaat;C;AXOPAR;28 CABIN/AC;2016;Plastik;9,01;Uus sõiduk;1
16.05.2017;Väikelaev;Purjejaht;A;BENETEAU;FIRST 31.7;2008;Plastik;9,5;;1
17.05.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
17.05.2017;Jett;Määramata;C;SEA-DOO;RXT-X RS 300;2017;Määramata;3,55;Uus sõiduk;1
17.05.2017;Väikelaev;Sõudepaat;D;ADMIRAL;AM280;2017;Kumm;2,8;Uus sõiduk;1
17.05.2017;Väikelaev;Mootorpaat;D;SEA PRO;CD 320;2012;Sünt. kangas;3,2;;1
17.05.2017;Väikelaev;Mootorpaat;D;NORDLINE;41M;2017;Plastik;4,1;Uus sõiduk;1
17.05.2017;Väikelaev;Mootorpaat;D;ASTRA;435;2017;Plastik;4,3;Uus sõiduk;1
17.05.2017;Väikelaev;Mootorpaat;C;TERHI;445 C;2017;Plastik;4,45;Uus sõiduk;1
17.05.2017;Väikelaev;Mootorpaat;C;MV-MARIN;4600;2001;Plastik;4,6;;1
17.05.2017;Väikelaev;Mootorpaat;C;BELLA;485R;2016;Plastik;4,9;Uus sõiduk;1
17.05.2017;Väikelaev;Mootorpaat;D;UTTERN;510 HT;1982;Plastik;5,1;;1
18.05.2017;Jett;Määramata;C;YAMAHA;WVT1100V;1997;Määramata;3,15;;1
18.05.2017;Väikelaev;Sõudepaat;D;SEILSAT;375;2000;Plastik;3,67;;1
18.05.2017;Väikelaev;Mootorpaat;C;BUSH;F370;2017;Kumm;3,7;Uus sõiduk;1
18.05.2017;Väikelaev;Mootorpaat;D;WHALY;370;2017;Plastik;3,7;Uus sõiduk;1
18.05.2017;Väikelaev;Mootorpaat;D;HIIU;450;2016;Plastik;4,5;Uus sõiduk;1
18.05.2017;Väikelaev;Mootorpaat;C;TUNA;460 DC;2016;Alumiinium;4,58;Uus sõiduk;1
18.05.2017;Väikelaev;Mootorpaat;D;METEOR;SPORT;1989;Plastik;4,75;;1
18.05.2017;Väikelaev;Mootorpaat;C;SILVER;HAWK 520 DC;1999;Alumiinium;5,2;;1
18.05.2017;Väikelaev;Purjejaht;C;SEASKIP;REBELL 2;1984;Plastik;7,6;;1
18.05.2017;Väikelaev;Mootorpaat;C;BAYLINER;2455 CIERA;1988;Plastik;8,21;;1
18.05.2017;Väikelaev;Purjejaht;C;MAXI;FENIX;1982;Plastik;8,3;;1
18.05.2017;Väikelaev;Purjejaht;C;MAXI;FENIX;1985;Plastik;8,34;;1
19.05.2017;Jett;Määramata;C;SEA-DOO;SPARK 900;2017;Määramata;2,83;Uus sõiduk;1
19.05.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2016;Määramata;3,32;Uus sõiduk;1
19.05.2017;Väikelaev;Sõudepaat;D;WHALY;270;2017;Plastik;2,7;Uus sõiduk;1
19.05.2017;Väikelaev;Sõudepaat;C;STORM;LU-340;2016;Sünt. kangas;3,38;;1
19.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-370 DZ;2017;Sünt. kangas;3,7;Uus sõiduk;1
19.05.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;2
19.05.2017;Väikelaev;Sõudepaat;D;KASSE;430R;2017;Plastik;4,33;Uus sõiduk;1
19.05.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020;2006;Plastik;4,62;;1
19.05.2017;Väikelaev;Purjejaht;C;ALBIN;EXPRESS;1979;Plastik;7,77;;1
20.05.2017;Väikelaev;Mootorpaat;D;DULKAN;290 DL;2016;Sünt. kangas;2,9;Uus sõiduk;1
20.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2017;Sünt. kangas;3,25;Uus sõiduk;1
20.05.2017;Väikelaev;Mootorpaat;C;DULKAN;RIB-360MR;2017;Sünt. kangas;3,6;Uus sõiduk;1
22.05.2017;Väikelaev;Sõudepaat;D;BUSH;U-280;2016;Sünt. kangas;2,8;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;HONWAVE;T35AE2;2016;Sünt. kangas;3,53;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;DULKAN;D-400;2017;Sünt. kangas;4;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;STING;485 A;2016;Plastik;4,88;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;MÄÄRAMATA;-;1976;Plastik;5;;1
22.05.2017;Väikelaev;Mootorpaat;C;YAMARIN CROSS;57 BOW RIDER;2017;Alumiinium;5,66;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;NORDKAPP;NOBLESSE 605;2016;Plastik;6,06;Uus sõiduk;1
22.05.2017;Väikelaev;Mootorpaat;C;XO;240 RS;2014;Alumiinium;7,52;;1
23.05.2017;Jett;Määramata;C;SEA-DOO;SPARK 900 HO;2016;Määramata;2,79;Uus sõiduk;1
23.05.2017;Jett;Määramata;C;SEA-DOO;RXT-X RS 300;2017;Määramata;3,55;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;C;JENHAL;Y 330;2016;Sünt. kangas;3,25;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;D;RIVAL MINI;360;2017;Plastik;3,6;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;D;MAKKO-MUOVI;NAPOSTELLA;1978;Plastik;4,25;;1
23.05.2017;Väikelaev;Mootorpaat;D;C-440;-;2017;Plastik;4,4;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;D;UTTERN;4700;1989;Plastik;4,7;;1
23.05.2017;Väikelaev;Mootorpaat;C;ALUNAUT;AC-18CC;2017;Alumiinium;5,45;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;C;ALUNAUT;AC-18XC;2017;Alumiinium;5,45;Uus sõiduk;1
23.05.2017;Väikelaev;Mootorpaat;C;FOUR WINNS;SUNDOWNER 215;1993;Plastik;6,5;;1
23.05.2017;Väikelaev;Mootorpaat;C;OMAVALMISTATUD;-;1975;Plastik;7,25;;1
23.05.2017;Väikelaev;Purjejaht;C;TUR;80;1979;Plastik;7,95;;1
24.05.2017;Alla 12m laev;Kalapaat;D;ASTRA RIVAL;430 ;2017;Plastik;4,3;Uus sõiduk;1
24.05.2017;Väikelaev;Mootorpaat;C;OMEGA;TP385K;2017;Sünt. kangas;3,85;Uus sõiduk;1
24.05.2017;Väikelaev;Mootorpaat;D;KRÕM;-;1986;Alumiinium;4,3;;1
24.05.2017;Väikelaev;Sõudepaat;D;SAKA;440;2009;Plastik;4,4;;1
24.05.2017;Väikelaev;Mootorpaat;C;VENA;450;2016;Plastik;4,5;Uus sõiduk;1
24.05.2017;Väikelaev;Mootorpaat;C;BUSTER;S;2006;Alumiinium;4,58;;1
24.05.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020 C;2017;Plastik;4,62;Uus sõiduk;1
24.05.2017;Väikelaev;Mootorpaat;D;KRÕM;M;1983;Alumiinium;4,64;;1
24.05.2017;Väikelaev;Mootorpaat;C;LARSEN B;T-530;2017;Plastik;5,3;Uus sõiduk;1
24.05.2017;Väikelaev;Mootorpaat;C;YAMARIN;540 BIG GAME;1990;Plastik;5,4;;1
24.05.2017;Väikelaev;Mootorpaat;C;PICTON;-;1988;Alumiinium;6,25;;1
24.05.2017;Väikelaev;Mootorpaat;C;KALAMARIE;I6.7;2017;Alumiinium;6,7;Uus sõiduk;1
25.05.2017;Väikelaev;Mootorpaat;D;NAVIGATOR BALTIC;360 AIR NEW;2017;Sünt. kangas;3,6;Uus sõiduk;1
25.05.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
25.05.2017;Väikelaev;Mootorpaat;C;BUSTER;L;2001;Alumiinium;4,9;;1
25.05.2017;Väikelaev;Mootorpaat;C;DELFIN TORNADO;DC 21;1980;Plastik;6,1;;1
25.05.2017;Väikelaev;Mootorpaat;C;BELLA;9000;2017;Plastik;9,12;Uus sõiduk;1
25.05.2017;Väikelaev;Purjejaht;B;HELMSMAN;31;1976;Plastik;9,3;;1
26.05.2017;Jett;Määramata;;SEA DOO;XP;1997;Määramata;2,72;;1
26.05.2017;Jett;Määramata;C;SEA-DOO;RXP-X 300 RS;2017;Määramata;3,32;Uus sõiduk;1
26.05.2017;Väikelaev;Sõudepaat;D;JILONG;FISHMAN II 400;2017;Sünt. kangas;2,95;Uus sõiduk;1
26.05.2017;Väikelaev;Mootorpaat;D;D-375;-;2001;Plastik;3,75;;1
26.05.2017;Väikelaev;Mootorpaat;D;TERHI;SEA FUN;1990;Plastik;4,01;;1
26.05.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
26.05.2017;Väikelaev;Mootorpaat;C;AMBER;430;2017;Plastik;4,3;Uus sõiduk;1
26.05.2017;Väikelaev;Sõudepaat;D;MV MARIN;450-R;1987;Plastik;4,5;;1
26.05.2017;Väikelaev;Mootorpaat;D;BELLA;451TL;1993;Plastik;4,5;;1
26.05.2017;Väikelaev;Mootorpaat;D;MÄÄRAMATA;-;1969;Puit;5,3;;1
26.05.2017;Väikelaev;Purjejaht;C;MIRROR OFFSHORE;-;1976;Plastik;5,8;;1
26.05.2017;Väikelaev;Mootorpaat;C;BUSTER;CABIN;2014;Alumiinium;6,92;;1
27.05.2017;Väikelaev;Sõudepaat;D;CHEYENNE I;400;2011;Sünt. kangas;3,02;;1
27.05.2017;Väikelaev;Sõudepaat;D;OMAVALMISTATUD;-;1994;Plastik;3,35;;1
29.05.2017;Jett;Määramata;;YAMAHA;EX DELUXE;2017;Määramata;3,14;Uus sõiduk;1
29.05.2017;Väikelaev;Sõudepaat;C;SUZUMAR;DS-360 AL;2017;Kumm;3,56;Uus sõiduk;1
29.05.2017;Väikelaev;Mootorpaat;C;TUNA;410;2017;Alumiinium;4,16;Uus sõiduk;1
29.05.2017;Väikelaev;Mootorpaat;B;CARMELA;-;1965;Plastik;4,6;;1
29.05.2017;Väikelaev;Mootorpaat;C;FLIPPER;575 HT;1984;Plastik;5,75;;1
30.05.2017;Jett;Määramata;;SEA DOO;3D;2004;Määramata;2,72;;1
